home,away,status
Brighton & Hove Albion FC,Southampton FC,SCHEDULED
Manchester United FC,Manchester City FC,SCHEDULED
Leeds United FC,West Ham United FC,SCHEDULED
Southampton FC,Sheffield United FC,SCHEDULED
Crystal Palace FC,Tottenham Hotspur FC,SCHEDULED
Wolverhampton Wanderers FC,Aston Villa FC,SCHEDULED
Fulham FC,Liverpool FC,SCHEDULED
Newcastle United FC,West Bromwich Albion FC,SCHEDULED
Everton FC,Chelsea FC,SCHEDULED
Leicester City FC,Brighton & Hove Albion FC,SCHEDULED
Arsenal FC,Burnley FC,SCHEDULED
Fulham FC,Brighton & Hove Albion FC,SCHEDULED
Aston Villa FC,Burnley FC,SCHEDULED
Arsenal FC,Southampton FC,SCHEDULED
Leicester City FC,Everton FC,SCHEDULED
Wolverhampton Wanderers FC,Chelsea FC,SCHEDULED
Sheffield United FC,Manchester United FC,SCHEDULED
West Ham United FC,Crystal Palace FC,SCHEDULED
Leeds United FC,Newcastle United FC,SCHEDULED
Liverpool FC,Tottenham Hotspur FC,SCHEDULED
Manchester City FC,West Bromwich Albion FC,SCHEDULED
Newcastle United FC,Fulham FC,SCHEDULED
Chelsea FC,West Ham United FC,SCHEDULED
Tottenham Hotspur FC,Leicester City FC,SCHEDULED
Everton FC,Arsenal FC,SCHEDULED
West Bromwich Albion FC,Aston Villa FC,SCHEDULED
Manchester United FC,Leeds United FC,SCHEDULED
Burnley FC,Wolverhampton Wanderers FC,SCHEDULED
Southampton FC,Manchester City FC,SCHEDULED
Crystal Palace FC,Liverpool FC,SCHEDULED
Brighton & Hove Albion FC,Sheffield United FC,SCHEDULED
Wolverhampton Wanderers FC,Tottenham Hotspur FC,SCHEDULED
Fulham FC,Southampton FC,SCHEDULED
Aston Villa FC,Crystal Palace FC,SCHEDULED
Liverpool FC,West Bromwich Albion FC,SCHEDULED
Manchester City FC,Newcastle United FC,SCHEDULED
Arsenal FC,Chelsea FC,SCHEDULED
Sheffield United FC,Everton FC,SCHEDULED
Leicester City FC,Manchester United FC,SCHEDULED
West Ham United FC,Brighton & Hove Albion FC,SCHEDULED
Leeds United FC,Burnley FC,SCHEDULED
Newcastle United FC,Liverpool FC,SCHEDULED
Chelsea FC,Aston Villa FC,SCHEDULED
Tottenham Hotspur FC,Fulham FC,SCHEDULED
Everton FC,Manchester City FC,SCHEDULED
West Bromwich Albion FC,Leeds United FC,SCHEDULED
